Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total
feb-12,"243,810.95","253,733.22","402,633.55","848,067.25","2,245,140.51"
mar-12,"270,906.08","290,286.65","429,534.50","925,065.27","2,497,385.98"
abr-12,"249,493.66","262,615.28","389,264.02","792,201.73","2,210,285.21"
may-12,"261,657.41","235,374.04","405,877.41","771,542.47","2,378,167.87"
jun-12,"255,333.43","261,012.58","409,111.24","712,464.94","2,164,315.62"
jul-12,"271,101.94","233,061.35","420,370.60","699,130.04","2,142,803.47"
ago-12,"280,184.27","259,165.94","433,828.02","716,720.36","2,253,967.16"
sep-12,"268,875.10","228,205.77","378,478.80","632,120.37","1,963,464.36"
oct-12,"297,829.17","261,347.22","414,523.22","728,414.88","2,273,452.29"
nov-12,"303,422.01","272,657.82","394,751.47","812,523.44","2,316,741.46"
dic-12,"281,757.56","310,407.04","442,191.43","848,262.93","2,352,667.37"
ene-13,"291,844.00","287,985.59","408,557.45","863,769.41","2,252,416.21"
feb-13,"253,221.89","259,659.66","361,215.69","808,853.97","2,069,737.09"
mar-13,"286,869.62","313,075.45","413,744.86","898,352.20","2,457,071.13"
abr-13,"287,216.30","330,070.65","409,238.30","966,103.92","2,508,230.00"
may-13,"301,770.53","313,131.36","403,354.79","827,601.25","2,482,671.83"
jun-13,"275,921.37","287,596.64","402,012.07","775,187.12","2,344,015.04"
jul-13,"292,790.10","314,185.61","425,154.22","732,544.52","2,280,253.62"
ago-13,"282,844.32","288,400.67","416,968.15","773,147.90","2,259,603.19"
sep-13,"278,403.42","249,357.42","379,479.78","672,125.16","1,939,354.91"
oct-13,"285,195.01","314,518.72","430,179.69","800,049.12","2,190,140.04"
nov-13,"253,022.23","306,638.45","404,692.46","821,457.45","2,167,425.47"
dic-13,"282,335.47","339,969.85","448,135.35","860,351.90","2,265,415.09"
ene-14,"288,260.80","312,139.77","412,617.93","917,251.54","2,329,215.09"
feb-14,"304,312.13","312,142.65","385,430.58","890,362.31","2,297,388.19"
mar-14,"284,201.43","335,869.63","434,863.96","1,004,937.39","2,527,910.09"
abr-14,"250,902.83","349,155.30","437,470.07","972,039.42","2,517,074.34"
may-14,"305,911.84","332,737.37","427,487.20","877,263.31","2,458,681.13"
jun-14,"285,640.44","303,016.82","387,299.10","733,508.70","2,152,358.29"
jul-14,"289,827.60","344,659.64","439,137.13","826,918.81","2,445,741.15"
ago-14,"272,617.60","326,356.06","442,953.10","793,694.01","2,476,740.21"
sep-14,"271,079.59","371,327.13","411,466.28","728,498.84","2,192,154.31"
oct-14,"337,006.14","343,812.67","459,922.48","836,278.12","2,486,938.45"
nov-14,"303,666.70","343,918.56","436,467.90","885,713.74","2,394,185.30"
dic-14,"311,419.96","464,223.15","538,899.26","1,021,378.09","2,804,423.86"
ene-15,"317,220.91","419,102.72","503,135.70","1,014,706.21","2,683,539.90"
feb-15,"315,364.36","398,167.69","454,190.88","980,149.84","2,540,046.24"
mar-15,"338,142.32","457,246.14","521,879.26","1,142,551.06","2,958,995.20"
abr-15,"320,920.88","413,451.11","486,779.41","1,011,167.74","2,764,588.75"
may-15,"328,177.80","415,570.95","483,594.83","944,316.66","2,739,859.78"
jun-15,"331,140.05","414,466.18","480,892.11","880,016.47","2,639,584.63"
jul-15,"363,251.96","440,729.53","515,322.66","902,586.36","2,790,760.07"
ago-15,"333,215.61","439,588.90","513,413.00","887,796.85","2,916,791.95"
sep-15,"364,351.76","422,826.59","501,658.04","734,654.22","2,555,014.13"
oct-15,"364,469.55","448,971.88","532,741.14","834,285.95","2,665,258.82"
nov-15,"353,643.08","423,841.82","516,486.95","925,431.00","2,606,583.61"
dic-15,"355,233.65","499,839.17","600,161.72","1,047,478.84","2,889,213.01"
ene-16,"346,512.22","433,180.34","545,737.53","1,084,043.63","2,867,643.45"
feb-16,"368,867.55","450,916.35","540,459.19","1,055,672.64","2,836,282.21"
mar-16,"372,223.42","486,255.94","575,720.92","1,107,296.65","3,024,439.51"
abr-16,"357,084.22","467,472.20","545,605.47","1,149,175.19","2,986,416.34"
may-16,"377,629.02","468,710.38","551,000.79","1,019,984.40","3,027,930.37"
jun-16,"355,848.99","450,758.18","537,583.25","888,538.10","2,692,557.21"
jul-16,"350,429.77","465,270.48","562,778.84","883,716.04","2,675,544.15"
ago-16,"363,859.51","485,995.83","585,748.50","866,270.02","2,640,585.02"
sep-16,"356,426.23","456,946.75","548,491.65","877,800.56","2,585,204.70"
oct-16,"373,503.78","476,277.64","573,754.73","916,410.70","2,731,114.44"
nov-16,"372,904.63","463,726.21","547,323.53","1,019,671.97","2,809,730.04"
dic-16,"372,690.46","524,242.31","615,251.51","1,113,827.10","3,168,031.09"
ene-17,"358,706.82","477,291.93","546,212.16","1,079,339.30","2,945,171.93"
feb-17,"357,497.97","453,665.32","526,888.94","1,052,536.01","2,757,973.29"
mar-17,"351,791.93","523,943.60","592,249.34","1,216,423.42","3,055,930.99"
abr-17,"360,957.70","500,063.03","530,345.96","1,032,813.29","2,912,143.42"
may-17,"377,492.16","516,884.37","588,861.62","1,034,806.24","3,000,245.00"
jun-17,"378,328.46","478,491.95","549,378.05","897,511.89","2,749,163.25"
jul-17,"369,948.64","521,730.41","607,702.70","938,887.64","2,930,551.90"
ago-17,"385,834.28","514,086.57","604,650.34","950,188.14","3,004,179.49"
sep-17,"447,373.59","492,618.55","560,892.67","894,363.58","2,859,598.01"
oct-17,"393,901.92","512,762.32","583,658.83","935,986.17","2,852,317.35"
nov-17,"409,332.86","510,631.29","563,345.61","1,038,598.26","2,926,844.62"
dic-17,"404,574.36","574,097.70","635,423.76","1,117,711.45","3,228,791.60"
ene-18,"421,848.92","528,763.30","581,802.98","15,763.64","3,124,128.64"
feb-18,"379,239.07","502,041.67","545,210.00","14,687.22","2,853,414.29"
mar-18,"415,125.90","571,052.13","618,402.18","15,893.32","3,388,812.48"
abr-18,"370,434.61","526,979.67","565,665.72","14,929.78","3,190,948.64"
